,Estados,x,y
0,Acre,-269.0,71.0
1,Alagoas,213.0,64.0
2,Amapá,2.0,221.0
3,Amazonas,-177.0,142.0
4,Bahia,145.0,19.0
5,Ceará,166.0,150.0
6,Distrito Federal,58.0,-21.0
7,Espírito Santo,159.0,-73.0
8,Goiás,20.0,-44.0
9,Maranhão,88.0,136.0
10,Mato Grosso,-63.0,2.0
11,Mato Grosso do Sul,-50.0,-93.0
12,Minas Gerais,110.0,-38.0
13,Pará,-12.0,152.0
14,Paraíba,224.0,104.0
15,Paraná,3.0,-154.0
16,Pernambuco,220.0,86.0
17,Piauí,115.0,91.0
18,Rio de Janeiro,130.0,-115.0
19,Rio Grande do Norte,213.0,123.0
20,Rio Grande do Sul,-15.0,-230.0
21,Rondônia,-155.0,41.0
22,Roraima,-130.0,233.0
23,Santa Catarina,26.0,-185.0
24,São Paulo,55.0,-125.0
25,Sergipe,200.0,49.0
26,Tocantins,46.0,48.0
